label,x(mm),y(mm),birth_time (min)
ADAL,0.011068,0.0059028,438.9381
ADAR,0.014206,0.0022044,438.8007
ADEL,0.016233,0.0056569,438.9381
ADER,0.014941,0.0093077,440.2116
ADFL,0.082393,-0.0009838,294.3396
ADFR,0.083279,-0.0031842,293.4744
ADLL,0.082639,-0.013035,303.7736
ADLR,0.083279,-0.011512,306.1728
AFDL,0.086329,-0.0027055,314.1509
AFDR,0.086463,-0.00097975,313.2275
AIAL,0.065177,0.0093461,316.7155
AIAR,0.05903,0.011512,320.625
AIBR,0.075441,0.0061235,306.1728
AIML,0.033203,0.017954,295.6012
AIMR,0.037476,0.015186,309.375
AINL,0.06198,-0.0061488,342.1517
AINR,0.061969,-0.0034291,340.388
AIYR,0.039435,0.015186,318.75
AIZL,0.048698,0.0027055,443.1858
AIZR,0.05756,0.0031842,438.8007
ALA,0.094056,-0.013227,315.6966
ALML,-0.37849,-0.016788,453.4271
ALMR,-0.38154,-0.0061046,449.0334
ALNL,-0.98005,-0.049441,502.6549
ALNR,-0.98625,-0.049441,495.2381
AQR,0.019595,0.004164,1280.0
AS1,-0.016411,0.024739,1587.3016
AS10,-0.83481,0.033575,1701.5873
AS11,-0.84406,0.023306,1701.5873
AS2,-0.10988,0.03968,1600.0
AS3,-0.1984,0.03968,1625.3968
AS4,-0.28386,0.03968,1625.3968
AS5,-0.40138,0.042732,1638.0952
AS6,-0.47616,0.042732,1638.0952
AS7,-0.57536,0.042732,1676.1905
AS8,-0.6654,0.03968,1663.4921
AS9,-0.7585,0.035102,1701.5873
ASEL,0.069112,0.0004919,358.4906
ASER,0.071767,-0.00073481,358.3774
ASGL,0.077966,-0.0076245,325.6637
ASGR,0.080095,-0.010287,321.6931
ASHL,0.075507,0.0004919,307.0381
ASHR,0.07838,-0.00097975,315.0
ASIL,0.076982,-0.012789,412.0354
ASIR,0.077156,-0.011757,409.1711
ASJL,0.063455,0.0066407,361.3208
ASJR,0.062704,0.0090627,359.7884
ASKL,0.088542,-0.010084,393.3962
ASKR,0.088668,-0.0095526,393.6508
AUAL,0.06862,0.0061488,360.3774
AUAR,0.067113,0.0053886,359.7884
AVAL,0.089526,0.0017217,312.2642
AVAR,0.090872,-0.00024494,311.2875
AVBL,0.069112,-0.0044271,318.4751
AVBR,0.071767,-0.0063684,314.0625
AVDL,0.061734,-0.0014757,298.9418
AVDR,0.066378,-0.0014696,300.7055
AVEL,0.082885,0.0022136,325.4717
AVER,0.084014,0.0031842,328.7478
AVFL,0.018615,0.022779,1676.1905
AVFR,0.024494,0.022534,1676.1905
AVG,0.0019595,0.024494,309.375
AVHL,0.072063,-0.0086083,347.4427
AVHR,0.076421,-0.012737,342.1517
AVJL,0.067636,-0.0093461,299.8236
AVJR,0.072992,-0.0097975,302.4691
AVKL,0.026809,0.017708,301.7595
AVKR,0.031842,0.015921,303.75
AVL,0.06099,0.0090627,300.9375
AVM,-0.34796,0.022892,1400.0
AWAL,0.077966,-0.0029514,325.6637
AWAR,0.07838,-0.0053886,321.6931
AWBL,0.079196,-0.0039352,294.3396
AWBR,0.082789,-0.0068583,293.4744
AWCL,0.078458,0.004919,305.2786
AWCR,0.078625,0.004164,306.5625
BAGL,0.11289,0.0004919,305.0
BAGR,0.11463,0.0031842,310.1504
BDUL,-0.13278,-0.0015262,451.6696
BDUR,-0.1343,0.0045785,449.0334
CEPDL,0.094199,-0.016233,399.292
CEPDR,0.096016,-0.012492,396.3093
CEPVL,0.10748,0.011314,414.3695
CEPVR,0.10508,0.014941,421.875
DA1,-0.023024,0.024249,309.375
DA2,-0.1282,0.038154,327.2727
DA3,-0.2335,0.041206,334.6875
DA4,-0.37391,0.041206,327.2727
DA5,-0.52652,0.03968,335.625
DA6,-0.69898,0.038154,307.0381
DA7,-0.84091,0.032049,310.3125
DA8,-0.90399,0.003879,309.375
DA9,-0.90771,0.002639,307.0381
DB1,-0.012247,0.025229,300.0
DB2,0.011757,0.024249,314.8496
DB3,-0.12057,0.038154,305.625
DB4,-0.27318,0.03968,303.75
DB5,-0.46853,0.041206,307.9179
DB6,-0.65777,0.038154,316.7155
DB7,-0.82718,0.032049,319.6875
DD1,-0.008083,0.024739,321.1144
DD2,-0.18924,0.038154,323.4375
DD3,-0.37849,0.041206,334.3109
DD4,-0.58299,0.041206,337.5
DD5,-0.76766,0.036628,335.1906
DD6,-0.89531,0.005119,337.5
DVA,-0.9445,-0.037868,296.25
DVB,-0.93995,-0.035801,1625.8824
DVC,-0.95153,-0.037868,350.6151
FLPL,0.023365,0.0091002,443.1858
FLPR,0.024984,0.003919,438.8007
HSNL,-0.53873,0.0091569,420.531
HSNR,-0.54178,0.035102,411.9929
IL1DL,0.12814,-0.014511,407.4074
IL1DR,0.12688,-0.010042,403.8801
IL1L,0.12642,-0.0009838,405.6437
IL1R,0.12418,0.0024494,424.1623
IL1VL,0.12912,0.011806,420.7547
IL1VR,0.11218,0.013227,417.2932
IL2DL,0.13675,-0.015741,291.0053
IL2DR,0.13741,-0.013961,293.6508
IL2L,0.13158,-0.0029514,298.06
IL2R,0.13031,-0.00073481,305.9965
IL2VL,0.13404,0.013035,297.1698
IL2VR,0.12688,0.012247,303.5714
LUAL,-0.97302,-0.020508,448.6804
LUAR,-0.98335,-0.018028,450.9375
OLLL,0.12863,-0.0061488,420.7547
OLLR,0.12908,-0.0044089,414.8148
OLQDL,0.12273,-0.015987,417.9894
OLQDR,0.12173,-0.012247,415.3439
OLQVL,0.11609,0.0041812,423.1672
OLQVR,0.11439,0.0075931,426.5625
PDA,-0.93003,-0.00025436,310.3125
PDB,-0.91309,0.0030523,1701.5873
PDEL,-0.68219,-0.012209,2005.2863
PDER,-0.69287,0.021366,2005.2863
PHAL,-0.95855,-0.015961,299.1202
PHAR,-0.96062,-0.016788,301.875
PHBL,-0.98087,-0.015134,419.115
PHBR,-0.97674,-0.018028,411.9929
PHCL,-1.0172,-0.016374,1603.5242
PHCR,-1.0139,-0.023814,1603.5242
PLML,-1.0251,-0.018441,502.6549
PLMR,-1.023,-0.017201,496.649
PLNL,-1.0086,-0.014308,1624.6696
PLNR,-0.97013,-0.017614,1624.6696
PQR,-0.99038,-0.014308,1272.9412
PVCL,-0.97674,-0.040348,448.6804
PVCR,-0.98997,-0.030428,450.0
PVDL,-0.69593,-0.012209,2100.4405
PVDR,-0.69898,0.018314,2100.4405
PVM,-0.70356,-0.0091569,1392.9412
PVNL,-1.0243,-0.032494,2100.4405
PVNR,-1.0181,-0.033321,2100.4405
PVPL,-0.89573,0.0096656,306.1584
PVPR,-0.87837,0.013386,310.3125
PVQL,-0.9631,-0.019268,329.9115
PVQR,-0.95318,-0.024228,328.7478
PVR,-0.99451,-0.038694,253.0756
PVT,-0.8825,0.015039,301.7595
PVWL,-0.99906,-0.018028,1413.2159
PVWR,-1.0077,-0.036214,1413.2159
RIAL,0.089526,-0.0039352,332.4515
RIAR,0.089892,-0.0046538,326.2787
RIBL,0.070342,0.0044271,307.0381
RIBR,0.071032,0.0051437,315.9375
RICL,0.055831,0.0061488,419.6481
RICR,0.052907,0.0048988,429.375
RID,0.09871,-0.016411,352.7337
RIFL,0.0044089,0.024494,426.6862
RIFR,0.016656,0.023024,430.3125
RIGL,-0.0063684,0.024739,321.9941
RIGR,0.0083279,0.023024,324.375
RIH,0.079934,0.0095921,301.875
RIML,0.064439,0.0024595,322.8739
RIMR,0.066868,0.0034291,331.875
RIPL,0.1215,-0.0066407,301.8868
RIPR,0.121,-0.0031842,316.7293
RIR,0.069562,0.0093077,309.375
RIS,0.034536,0.016166,303.75
RIVL,0.073047,-0.0182,318.4751
RIVR,0.076176,-0.016901,311.25
RMDDL,0.07895,0.0093461,300.0
RMDDR,0.077156,0.012247,306.391
RMDL,0.087312,0.005165,314.1509
RMDR,0.087933,0.0051437,313.2275
RMDVL,0.094199,-0.0029514,312.2642
RMDVR,0.09724,-0.0019595,310.1504
RMED,0.1156,-0.017954,315.6966
RMEL,0.11265,-0.0029514,326.2787
RMER,0.11292,-0.00024494,327.1605
RMEV,0.094056,0.017391,278.0059
RMFL,0.069112,0.012789,2324.7059
RMFR,0.071277,0.012247,2324.7059
RMGL,0.0088542,0.0034433,320.0
RMGR,0.0095526,0.0017146,317.4603
RMHL,0.073047,0.0091002,1590.5882
RMHR,0.072257,0.010042,1583.5294
SAADL,0.07772,0.0093461,308.4906
SAADR,0.07838,0.011512,310.1504
SAAVL,0.094445,-0.0059028,305.2786
SAAVR,0.094546,-0.0026943,307.5
SABD,-0.0026943,0.024249,306.1584
SABVL,0.024739,0.022289,427.566
SABVR,0.02033,0.022779,428.4375
SDQL,-0.68982,-0.010683,1407.0588
SDQR,-0.14651,-0.0030523,1400.0
SIADL,0.068374,0.010822,314.956
SIADR,0.06148,0.014941,315.0
SIAVL,0.051896,0.014019,306.1584
SIAVR,0.054621,0.011267,309.375
SIBDL,0.079688,0.0068866,311.437
SIBDR,0.07985,0.0073481,315.9375
SIBVL,0.074277,0.010084,314.956
SIBVR,0.073237,0.0097975,315.0
SMBDL,0.064685,0.014019,409.434
SMBDR,0.057316,0.016901,414.4737
SMBVL,0.05952,0.014265,314.1509
SMBVR,0.066133,0.012737,315.7895
SMDDL,0.072555,0.013281,315.8358
SMDDR,0.070787,0.014696,318.75
SMDVR,0.093811,-0.0048988,310.1504
URADL,0.13134,-0.012052,336.9912
URADR,0.12492,-0.0083279,335.6766
URAVL,0.11658,0.0093461,316.7155
URAVR,0.11341,0.011267,325.3125
URBL,0.12101,-0.0029514,305.8407
URBR,0.12222,-0.0012247,306.1728
URXL,0.092231,-0.011806,402.1239
URXR,0.093077,-0.010042,396.3093
URYDL,0.12568,-0.012052,295.4145
URYDR,0.13055,-0.0095526,296.2963
URYVL,0.1215,0.0022136,307.0381
URYVR,0.121,0.0071032,306.5625
VA1,-0.0026943,0.024739,1460.3175
VA10,-0.80886,0.033575,1752.381
VA11,-0.78578,0.027852,1892.0635
VA12,-0.89118,0.0084256,1866.6667
VA2,-0.070203,0.036628,1676.1905
VA3,-0.14498,0.038154,1714.2857
VA4,-0.23961,0.03968,1714.2857
VA5,-0.34338,0.042732,1726.9841
VA6,-0.44564,0.042732,1714.2857
VA7,-0.54636,0.042732,1752.381
VA8,-0.62572,0.03968,1714.2857
VA9,-0.71424,0.036628,1752.381
VB1,0.014941,0.024004,1688.8889
VB10,-0.73866,0.036628,1739.6825
VB11,-0.81802,0.033575,1739.6825
VB2,0.029393,0.023514,1587.3016
VB3,-0.080886,0.036628,1701.5873
VB4,-0.16025,0.038154,1714.2857
VB5,-0.25182,0.041206,1714.2857
VB6,-0.36933,0.042732,1726.9841
VB7,-0.45632,0.042732,1726.9841
VB8,-0.56315,0.041206,1752.381
VB9,-0.63641,0.041206,1714.2857
VC1,-0.16635,0.038154,1638.0952
VC2,-0.26097,0.041206,1638.0952
VC3,-0.3968,0.042732,1612.6984
VC4,-0.49753,0.038154,1638.0952
VC5,-0.53263,0.042732,1663.4921
VC6,-0.65319,0.041206,
VD1,-0.0218,0.024249,1460.3175
VD10,-0.77376,0.036628,1663.4921
VD11,-0.84854,0.033575,1663.4921
VD12,-0.86845,0.017519,1701.5873
VD13,-0.91474,0.00015897,1688.8889
VD2,-0.030862,0.024249,1587.3016
VD3,-0.1343,0.038154,1600.0
VD4,-0.21977,0.041206,1638.0952
VD5,-0.31439,0.042732,1638.0952
VD6,-0.40596,0.044258,1638.0952
VD7,-0.48837,0.041206,1625.3968
VD8,-0.59673,0.042732,1663.4921
VD9,-0.6883,0.038154,1650.7937
